model_name,n,sdsize,sddepth,att,maa,mintrap
n160_56.bnet,160,6,3,2,0,2
n160_51.bnet,160,11,3,3,0,3
n160_6.bnet,160,11,3,3,0,3
n160_62.bnet,160,3,1,2,0,2
n160_61.bnet,160,3,1,2,0,2
n160_66.bnet,160,2,1,1,0,1
n160_63.bnet,160,3,1,2,0,2
n160_65.bnet,160,3,2,1,0,1
n160_68.bnet,160,1,0,1,0,1
n160_69.bnet,160,1,0,1,0,1
n160_64.bnet,160,3,1,2,0,2
n160_73.bnet,160,1,0,1,0,1
n160_70.bnet,160,1,0,1,0,1
n160_71.bnet,160,6,2,2,0,2
n160_67.bnet,160,5,2,3,0,3
n160_7.bnet,160,5,2,2,0,2
n160_60.bnet,160,14,3,5,0,5
n160_72.bnet,160,7,2,4,0,4
n160_76.bnet,160,2,1,1,0,1
n160_78.bnet,160,2,1,1,0,1
n160_59.bnet,160,14,4,3,0,3
n160_82.bnet,160,1,0,1,0,1
n160_81.bnet,160,1,0,1,0,1
n160_43.bnet,160,27,3,8,0,8
n160_85.bnet,160,1,0,1,0,1
n160_8.bnet,160,3,1,2,0,2
n160_80.bnet,160,3,1,2,0,2
n160_86.bnet,160,1,0,1,0,1
n160_84.bnet,160,3,1,2,0,2
n160_83.bnet,160,6,2,2,0,2
n160_87.bnet,160,2,1,1,0,1
n160_79.bnet,160,6,2,3,0,3
n160_9.bnet,160,3,1,2,0,2
n160_90.bnet,160,3,1,2,0,2
n160_75.bnet,160,21,5,4,0,4
n160_91.bnet,160,3,1,2,0,2
n160_95.bnet,160,2,1,1,0,1
n160_88.bnet,160,7,2,4,0,4
n160_89.bnet,160,9,2,4,0,4
n160_94.bnet,160,3,1,2,0,2
n20_0.bnet,20,3,2,1,0,1
n160_92.bnet,160,7,3,2,0,2
n20_1.bnet,20,1,0,1,0,1
n160_99.bnet,160,3,1,2,0,2
n20_10.bnet,20,1,0,1,0,1
n20_11.bnet,20,1,0,1,0,1
n160_98.bnet,160,7,3,2,0,2
n160_77.bnet,160,19,3,8,0,8
n20_12.bnet,20,5,1,4,0,4
n20_14.bnet,20,5,2,2,0,2
n20_15.bnet,20,3,1,2,0,2
n20_16.bnet,20,7,3,3,0,3
n20_13.bnet,20,7,2,4,0,4
n160_93.bnet,160,12,3,4,0,4
n20_19.bnet,20,3,1,2,0,2
n20_2.bnet,20,3,1,2,0,2
n20_17.bnet,20,2,1,1,0,1
n20_18.bnet,20,21,4,4,0,4
n20_20.bnet,20,16,4,3,0,3
n20_21.bnet,20,1,0,1,0,1
n20_26.bnet,20,5,2,2,0,2
n20_22.bnet,20,1,0,1,0,1
n20_24.bnet,20,1,0,1,0,1
n20_25.bnet,20,1,0,1,0,1
n20_23.bnet,20,9,2,4,0,4
n160_74.bnet,160,1,0,1,0,1
n20_28.bnet,20,3,1,2,0,2
n20_31.bnet,20,6,2,3,0,3
n20_30.bnet,20,1,0,1,0,1
n20_27.bnet,20,3,1,2,0,2
n20_3.bnet,20,3,1,2,0,2
n20_32.bnet,20,7,2,4,0,4
n20_29.bnet,20,7,3,2,0,2
n160_97.bnet,160,13,3,6,0,6
n20_38.bnet,20,1,0,1,0,1
n20_37.bnet,20,1,0,1,0,1
n20_36.bnet,20,1,0,1,0,1
n20_34.bnet,20,1,0,1,0,1
n20_33.bnet,20,3,2,1,0,1
n20_39.bnet,20,24,3,8,0,8
n20_35.bnet,20,2,1,1,0,1
n20_43.bnet,20,3,1,2,0,2
n20_45.bnet,20,1,0,1,0,1
n20_46.bnet,20,6,2,3,0,3
n20_41.bnet,20,3,1,2,0,2
n20_4.bnet,20,5,2,3,0,3
n20_42.bnet,20,3,1,2,0,2
n20_44.bnet,20,3,1,2,0,2
n20_40.bnet,20,13,2,8,0,8
n20_50.bnet,20,1,0,1,0,1
n20_49.bnet,20,1,0,1,0,1
n20_53.bnet,20,2,1,1,0,1
n20_5.bnet,20,9,2,4,0,4
n20_52.bnet,20,3,1,2,0,2
n20_51.bnet,20,2,1,1,0,1
n20_47.bnet,20,19,3,8,0,8
n20_48.bnet,20,18,3,4,0,4
n20_60.bnet,20,5,2,2,0,2
n160_96.bnet,160,21,4,4,0,4
n20_57.bnet,20,13,2,8,0,8
n20_58.bnet,20,1,0,1,0,1
n20_56.bnet,20,2,1,1,0,1
n20_54.bnet,20,3,1,2,0,2
n20_6.bnet,20,5,2,2,0,2
n20_59.bnet,20,12,4,3,0,3
n20_55.bnet,20,7,2,4,0,4
n20_64.bnet,20,1,0,1,0,1
n20_63.bnet,20,3,1,2,0,2
n20_69.bnet,20,3,2,1,0,1
n20_65.bnet,20,2,1,1,0,1
n20_66.bnet,20,5,2,3,0,3
n20_67.bnet,20,2,1,1,0,1
n20_61.bnet,20,3,2,1,0,1
n20_62.bnet,20,3,1,2,0,2
n20_68.bnet,20,3,1,2,0,2
