n10_0.bnet,10,1,3,2,1,1
n10_1.bnet,10,1,5,1,0,1
n10_10.bnet,10,1,2,2,1,1
n10_11.bnet,10,1,7,1,0,1
n10_12.bnet,10,1,3,2,1,1
n10_13.bnet,10,1,4,9,3,3
n10_14.bnet,10,1,3,2,1,1
n10_15.bnet,10,1,3,2,1,1
n10_16.bnet,10,1,5,3,1,2
n10_17.bnet,10,1,5,2,1,1
n10_18.bnet,10,1,1,1,0,1
n10_19.bnet,10,2,5,5,2,2
n10_2.bnet,10,1,5,4,2,2
n10_20.bnet,10,1,3,1,0,1
n10_21.bnet,10,1,8,3,1,2
n10_22.bnet,10,1,4,1,0,1
n10_23.bnet,10,1,2,2,1,1
n10_24.bnet,10,2,2,3,1,2
n10_25.bnet,10,1,2,3,1,2
n10_26.bnet,10,1,3,3,1,2
n10_27.bnet,10,1,5,1,0,1
n10_28.bnet,10,1,2,2,1,1
n10_29.bnet,10,1,1,1,0,1
n10_3.bnet,10,1,4,1,0,1
n10_30.bnet,10,1,6,3,1,2
n10_31.bnet,10,1,4,1,0,1
n10_32.bnet,10,1,4,2,1,1
n10_33.bnet,10,0,0,1,0,1
n10_34.bnet,10,1,4,2,1,1
n10_35.bnet,10,0,0,1,0,1
n10_36.bnet,10,1,4,1,0,1
n10_37.bnet,10,1,1,1,0,1
n10_38.bnet,10,2,5,9,2,4
n10_39.bnet,10,1,3,3,1,2
n10_4.bnet,10,1,3,3,1,2
n10_40.bnet,10,2,5,9,2,4
n10_41.bnet,10,1,2,5,2,2
n10_42.bnet,10,1,3,1,0,1
n10_43.bnet,10,2,2,3,1,2
n10_44.bnet,10,2,6,6,2,2
n10_45.bnet,10,1,7,1,0,1
n10_46.bnet,10,1,3,1,0,1
n10_47.bnet,10,1,3,2,1,1
n10_48.bnet,10,2,4,1,0,1
n10_49.bnet,10,1,7,3,1,2
n10_5.bnet,10,1,3,2,1,1
n10_50.bnet,10,1,2,3,1,2
n10_51.bnet,10,1,2,2,1,1
n10_52.bnet,10,1,1,2,1,1
n10_53.bnet,10,1,2,1,0,1
n10_54.bnet,10,1,8,1,0,1
n10_55.bnet,10,1,4,2,1,1
n10_56.bnet,10,1,2,1,0,1
n10_57.bnet,10,1,3,2,1,1
n10_58.bnet,10,1,8,3,1,2
n10_59.bnet,10,1,7,1,0,1
n10_6.bnet,10,1,4,3,1,2
n10_60.bnet,10,1,2,1,0,1
n10_61.bnet,10,1,3,2,1,1
n10_62.bnet,10,2,5,3,1,2
n10_63.bnet,10,1,5,3,1,2
n10_64.bnet,10,1,7,3,1,2
n10_65.bnet,10,1,2,2,1,1
n10_66.bnet,10,2,8,3,1,2
n10_67.bnet,10,2,3,9,2,4
n10_68.bnet,10,2,4,9,2,4
n10_69.bnet,10,1,3,1,0,1
n10_7.bnet,10,2,4,1,0,1
n10_70.bnet,10,3,5,3,1,2
n10_71.bnet,10,4,5,9,2,4
n10_72.bnet,10,1,4,1,0,1
n10_73.bnet,10,1,5,3,2,1
n10_74.bnet,10,1,3,2,1,1
n10_75.bnet,10,1,4,4,2,2
n10_76.bnet,10,1,4,3,1,2
n10_77.bnet,10,1,5,3,1,2
n10_78.bnet,10,0,0,1,0,1
n10_79.bnet,10,1,6,1,0,1
